rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_id,GD,FFD,GPD,FoM,trial_type
167,"['trial 78 start', 'trial 78 end']","FixationSequence[Fixation[770,547], ..., Fixation[1580,543]]",simple,3,resource,selorca ,The course introduces X management to combat global warning.,21,67,-304.0,The course introduces , management to combat global warning.,trial,TextBlock[The course introd...],"FixationSequence[Fixation[770,547], ..., Fixation[1580,534]]",78,366,235,366,235,legal_nonword
177,"['trial 79 start', 'trial 79 end']","FixationSequence[Fixation[757,588], ..., Fixation[1507,535]]",simple,2,mountain,qslzwyfr,After this one there will be another X before the end of our quest.,36,74,-64.0,After this one there will be another , before the end of our quest.,trial,TextBlock[After this one th...],"FixationSequence[Fixation[757,588], ..., Fixation[1507,534]]",79,201,201,201,n/a,illegal_nonword
178,"['trial 80 start', 'trial 80 end']","FixationSequence[Fixation[804,542], ..., Fixation[1484,582]]",complex,3,audible,udibile,It was almost X how excited she was at the news.,13,54,-432.0,It was almost , how excited she was at the news.,trial,TextBlock[It was almost aud...],"FixationSequence[Fixation[804,542], ..., Fixation[1484,534]]",80,151,151,151,n/a,cognate
179,"['trial 81 start', 'trial 81 end']","FixationSequence[Fixation[786,528], ..., Fixation[1690,608]]",complex,1,greatness,greatness,Make your way towards X by pushing yourself to be better.,21,65,-304.0,Make your way towards , by pushing yourself to be better.,trial,TextBlock[Make your way tow...],"FixationSequence[Fixation[786,528], ..., Fixation[1690,534]]",81,322,162,322,162,identical
183,"['trial 82 start', 'trial 82 end']","FixationSequence[Fixation[1159,584], ..., Fixation[1652,577]]",complex,1,vastness,vastness,The snowy white X of the North Pole makes it difficult to survive.,15,73,-400.0,The snowy white , of the North Pole makes it difficult to survive.,trial,TextBlock[The snowy white v...],"FixationSequence[Fixation[1159,584], ..., Fixation[1652,534]]",82,287,287,287,n/a,identical
187,"['trial 83 start', 'trial 83 end']","FixationSequence[Fixation[1168,602], ..., Fixation[1487,542]]",simple,2,parcel,parcel,There was a large X on her doorstep when she got home.,17,59,-368.0,There was a large , on her doorstep when she got home.,trial,TextBlock[There was a large...],"FixationSequence[Fixation[1168,602], ..., Fixation[1487,534]]",83,174,174,174,n/a,identical
188,"['trial 84 start', 'trial 84 end']","FixationSequence[Fixation[903,528], ..., Fixation[1670,562]]",simple,1,molecule,maledule,For the journey every X will be reused in this sustainable spaceship.,21,76,-304.0,For the journey every , will be reused in this sustainable spaceship.,trial,TextBlock[For the journey e...],"FixationSequence[Fixation[903,528], ..., Fixation[1670,534]]",84,311,311,432,n/a,legal_nonword
189,"['trial 85 start', 'trial 85 end']","FixationSequence[Fixation[913,519], ..., Fixation[1619,545]]",complex,2,sculptor,sculptor,Charles was the only X to have understood what I wanted.,20,63,-320.0,Charles was the only , to have understood what I wanted.,trial,TextBlock[Charles was the o...],"FixationSequence[Fixation[913,519], ..., Fixation[1619,534]]",85,142,142,142,n/a,identical
190,"['trial 86 start', 'trial 86 end']","FixationSequence[Fixation[804,530], ..., Fixation[1576,571]]",complex,2,bandages,hkyqmfrp,Please change your X every two days for it to heal.,18,58,-352.0,Please change your , every two days for it to heal.,trial,TextBlock[Please change you...],"FixationSequence[Fixation[804,530], ..., Fixation[1576,534]]",86,324,324,324,n/a,illegal_nonword
191,"['trial 87 start', 'trial 87 end']","FixationSequence[Fixation[809,542], ..., Fixation[1602,555]]",simple,4,platoon,plotone,Those in the first X were the ones who get hurt the worst.,18,64,-352.0,Those in the first , were the ones who get hurt the worst.,trial,TextBlock[Those in the firs...],"FixationSequence[Fixation[809,542], ..., Fixation[1602,534]]",87,189,189,189,n/a,cognate
192,"['trial 88 start', 'trial 88 end']","FixationSequence[Fixation[830,526], ..., Fixation[1216,530]]",simple,2,synagogue,synagogue,No doubt this X has the most beautiful exterior.,13,56,-432.0,No doubt this , has the most beautiful exterior.,trial,TextBlock[No doubt this syn...],"FixationSequence[Fixation[830,526], ..., Fixation[1216,534]]",88,404,272,404,272,identical
193,"['trial 89 start', 'trial 89 end']","FixationSequence[Fixation[648,615], ..., Fixation[1567,534]]",simple,2,genius,genius,He has a certain X matched by his sympathy for all kinds of behaviour.,16,75,-384.0,He has a certain , matched by his sympathy for all kinds of behaviour.,trial,TextBlock[He has a certain ...],"FixationSequence[Fixation[648,615], ..., Fixation[1567,534]]",89,186,186,186,n/a,identical
194,"['trial 90 start', 'trial 90 end']","FixationSequence[Fixation[809,527], ..., Fixation[1480,535]]",complex,1,historic,historic,What an excitingly X setting for the last race of the season.,18,68,-352.0,What an excitingly , setting for the last race of the season.,trial,TextBlock[What an excitingl...],"FixationSequence[Fixation[809,527], ..., Fixation[1480,534]]",90,183,183,183,n/a,identical
195,"['trial 91 start', 'trial 91 end']","FixationSequence[Fixation[688,528], ..., Fixation[1393,542]]",simple,4,rhythm,ritmo ,It has a real X that you can easily dance to.,13,50,-432.0,It has a real , that you can easily dance to.,trial,TextBlock[It has a real rhy...],"FixationSequence[Fixation[688,528], ..., Fixation[1393,534]]",91,199,199,199,n/a,cognate
196,"['trial 92 start', 'trial 92 end']","FixationSequence[Fixation[660,523], ..., Fixation[1546,566]]",complex,4,firmness,fermezza,He showed the same X with his children as with his soldiers.,18,67,-352.0,He showed the same , with his children as with his soldiers.,trial,TextBlock[He showed the sam...],"FixationSequence[Fixation[660,523], ..., Fixation[1546,534]]",92,22,22,22,n/a,cognate
197,"['trial 93 start', 'trial 93 end']","FixationSequence[Fixation[702,543], ..., Fixation[1459,538]]",simple,4,sponge,qmxhkc,This type of natural X is exactly what you need to clean your house.,20,73,-320.0,This type of natural , is exactly what you need to clean your house.,trial,TextBlock[This type of natu...],"FixationSequence[Fixation[702,543], ..., Fixation[1459,534]]",93,419,419,536,n/a,illegal_nonword
198,"['trial 94 start', 'trial 94 end']","FixationSequence[Fixation[466,523], ..., Fixation[1512,545]]",simple,1,trumpet,prembe ,You shall be a fearless X of truth and a voice of godly influence.,23,72,-272.0,You shall be a fearless , of truth and a voice of godly influence.,trial,TextBlock[You shall be a fe...],"FixationSequence[Fixation[466,523], ..., Fixation[1512,534]]",94,323,323,634,n/a,legal_nonword
199,"['trial 95 start', 'trial 95 end']","FixationSequence[Fixation[712,546], ..., Fixation[1551,576]]",simple,2,synagogue,lzcrjhwfx,You may expect every X to be different in some way.,20,59,-320.0,You may expect every , to be different in some way.,trial,TextBlock[You may expect ev...],"FixationSequence[Fixation[712,546], ..., Fixation[1551,534]]",95,331,212,331,212,illegal_nonword
200,"['trial 96 start', 'trial 96 end']","FixationSequence[Fixation[800,540], ..., Fixation[1490,552]]",simple,3,resource,risorsa ,It's an amazing X for young students interested in biology.,15,66,-400.0,It's an amazing , for young students interested in biology.,trial,TextBlock[It's an amazing r...],"FixationSequence[Fixation[800,540], ..., Fixation[1490,534]]",96,393,211,393,211,cognate
207,"['trial 97 start', 'trial 97 end']","FixationSequence[Fixation[972,563], ..., Fixation[1637,546]]",complex,1,furious,furious,Brian was clearly X about the grade he got for his final exam.,17,68,-368.0,Brian was clearly , about the grade he got for his final exam.,trial,TextBlock[Brian was clearly...],"FixationSequence[Fixation[972,563], ..., Fixation[1637,534]]",97,171,171,171,n/a,identical
211,"['trial 98 start', 'trial 98 end']","FixationSequence[Fixation[766,605], ..., Fixation[1564,565]]",simple,1,prophet,prophet,In centuries no other X had managed to unite them as he did.,21,66,-304.0,In centuries no other , had managed to unite them as he did.,trial,TextBlock[In centuries no o...],"FixationSequence[Fixation[766,605], ..., Fixation[1564,534]]",98,211,211,211,n/a,identical
212,"['trial 99 start', 'trial 99 end']","FixationSequence[Fixation[813,524], ..., Fixation[1451,547]]",simple,4,sponge,spugna,A large square X sat on the side of the kitchen sink.,14,58,-416.0,A large square , sat on the side of the kitchen sink.,trial,TextBlock[A large square sp...],"FixationSequence[Fixation[813,524], ..., Fixation[1451,534]]",99,199,199,199,n/a,cognate
213,"['trial 100 start', 'trial 100 end']","FixationSequence[Fixation[909,532], ..., Fixation[1579,558]]",complex,2,genetics,jwxmbryz,That is partly about X and partly about how you were raised.,20,67,-320.0,That is partly about , and partly about how you were raised.,trial,TextBlock[That is partly ab...],"FixationSequence[Fixation[909,532], ..., Fixation[1579,534]]",100,335,176,335,176,illegal_nonword
214,"['trial 101 start', 'trial 101 end']","FixationSequence[Fixation[944,538], ..., Fixation[1392,577]]",complex,1,sanity,sanity,Let's bring some X back into this debate.,16,46,-384.0,Let's bring some , back into this debate.,trial,TextBlock[Let's bring some ...],"FixationSequence[Fixation[944,538], ..., Fixation[1392,534]]",101,174,174,174,n/a,identical
215,"['trial 102 start', 'trial 102 end']","FixationSequence[Fixation[803,539], ..., Fixation[1364,559]]",complex,3,violence,vielerce,Let's talk about X in a home environment between parents.,16,64,-384.0,Let's talk about , in a home environment between parents.,trial,TextBlock[Let's talk about ...],"FixationSequence[Fixation[803,539], ..., Fixation[1364,534]]",102,296,147,296,147,legal_nonword
219,"['trial 103 start', 'trial 103 end']","FixationSequence[Fixation[1178,588], ..., Fixation[1494,581]]",simple,1,school,school,Linda always disliked X when it was sunny outside.,21,55,-304.0,Linda always disliked , when it was sunny outside.,trial,TextBlock[Linda always disl...],"FixationSequence[Fixation[1178,588], ..., Fixation[1494,534]]",103,169,169,169,n/a,identical
220,"['trial 104 start', 'trial 104 end']","FixationSequence[Fixation[807,525], ..., Fixation[1618,575]]",complex,2,sensitive,qhgrxzpcw,There’s a possibility X data has been transmitted to scammers.,21,70,-304.0,There’s a possibility , data has been transmitted to scammers.,trial,TextBlock[There’s a possibi...],"FixationSequence[Fixation[807,525], ..., Fixation[1618,534]]",104,429,238,429,238,illegal_nonword
221,"['trial 105 start', 'trial 105 end']","FixationSequence[Fixation[620,528], ..., Fixation[1384,565]]",complex,2,nervous,nervous,With an unexpected X energy she ran faster and faster.,18,60,-352.0,With an unexpected , energy she ran faster and faster.,trial,TextBlock[With an unexpecte...],"FixationSequence[Fixation[620,528], ..., Fixation[1384,534]]",105,174,174,174,n/a,identical
222,"['trial 106 start', 'trial 106 end']","FixationSequence[Fixation[918,574], ..., Fixation[1356,550]]",simple,2,recruit,xzmdnbq,It looked like the newest X was going to fail his exams.,25,62,-240.0,It looked like the newest , was going to fail his exams.,trial,TextBlock[It looked like th...],"FixationSequence[Fixation[918,574], ..., Fixation[1356,534]]",106,199,199,199,n/a,illegal_nonword
226,"['trial 107 start', 'trial 107 end']","FixationSequence[Fixation[1166,610], ..., Fixation[1527,557]]",simple,3,plaque,placca,Choosing the right X to buy is not quite easy.,18,51,-352.0,Choosing the right , to buy is not quite easy.,trial,TextBlock[Choosing the righ...],"FixationSequence[Fixation[1166,610], ..., Fixation[1527,534]]",107,299,147,299,147,cognate
227,"['trial 108 start', 'trial 108 end']","FixationSequence[Fixation[884,584], ..., Fixation[1554,553]]",complex,4,density,rfmcbvj,We need the right X of reflective bits to decrease solar radiation.,17,73,-368.0,We need the right , of reflective bits to decrease solar radiation.,trial,TextBlock[We need the right...],"FixationSequence[Fixation[884,584], ..., Fixation[1554,534]]",108,359,359,2175,n/a,illegal_nonword
228,"['trial 109 start', 'trial 109 end']","FixationSequence[Fixation[896,562], ..., Fixation[1443,572]]",complex,3,jealousy,fialoti ,A touch of friendly X can put a spark in a relationship.,19,63,-336.0,A touch of friendly , can put a spark in a relationship.,trial,TextBlock[A touch of friend...],"FixationSequence[Fixation[896,562], ..., Fixation[1443,534]]",109,369,178,369,178,legal_nonword
238,"['trial 110 start', 'trial 110 end']","FixationSequence[Fixation[1162,628], ..., Fixation[1396,572]]",complex,1,zealous,zealous,Some people are more X than others at church.,20,51,-320.0,Some people are more , than others at church.,trial,TextBlock[Some people are m...],"FixationSequence[Fixation[1162,628], ..., Fixation[1396,534]]",110,156,156,2009,n/a,identical
239,"['trial 111 start', 'trial 111 end']","FixationSequence[Fixation[867,560], ..., Fixation[1543,560]]",simple,2,island,island,The beauty of this amazing X is one of my best memories.,26,61,-224.0,The beauty of this amazing , is one of my best memories.,trial,TextBlock[The beauty of thi...],"FixationSequence[Fixation[867,560], ..., Fixation[1543,534]]",111,223,223,7866,n/a,identical
240,"['trial 112 start', 'trial 112 end']","FixationSequence[Fixation[857,531], ..., Fixation[1377,578]]",simple,3,yellow,giallo,Yesterday he declared X alerts for several areas.,21,54,-304.0,Yesterday he declared , alerts for several areas.,trial,TextBlock[Yesterday he decl...],"FixationSequence[Fixation[857,531], ..., Fixation[1377,534]]",112,101,101,101,n/a,cognate
247,"['trial 113 start', 'trial 113 end']","FixationSequence[Fixation[1179,631], ..., Fixation[1594,569]]",simple,4,marathon,vfcgszwk,The important thing during X training is not to run too quickly.,26,71,-224.0,The important thing during , training is not to run too quickly.,trial,TextBlock[The important thi...],"FixationSequence[Fixation[1179,631], ..., Fixation[1594,534]]",113,153,153,153,n/a,illegal_nonword
248,"['trial 114 start', 'trial 114 end']","FixationSequence[Fixation[1026,542], ..., Fixation[1228,544]]",complex,2,asthmatic,asthmatic,He quickly became X and had trouble breathing.,17,54,-368.0,He quickly became , and had trouble breathing.,trial,TextBlock[He quickly became...],"FixationSequence[Fixation[1026,542], ..., Fixation[1228,534]]",114,340,126,340,126,identical
249,"['trial 115 start', 'trial 115 end']","FixationSequence[Fixation[951,554], ..., Fixation[1471,551]]",complex,3,vigilance,vagilasce,He needs great X for the task at hand to avoid making mistakes.,14,71,-416.0,He needs great , for the task at hand to avoid making mistakes.,trial,TextBlock[He needs great vi...],"FixationSequence[Fixation[951,554], ..., Fixation[1471,534]]",115,195,195,195,n/a,legal_nonword
250,"['trial 116 start', 'trial 116 end']","FixationSequence[Fixation[900,558], ..., Fixation[1587,558]]",simple,4,rhythm,kjxgqs,He found a good X in the second quarter and scored thirty points.,15,70,-400.0,He found a good , in the second quarter and scored thirty points.,trial,TextBlock[He found a good r...],"FixationSequence[Fixation[900,558], ..., Fixation[1587,534]]",116,346,346,346,n/a,illegal_nonword
251,"['trial 117 start', 'trial 117 end']","FixationSequence[Fixation[875,537], ..., Fixation[1499,555]]",complex,3,luxurious,lupritta ,They were moved to relatively X quarters when they complained.,29,70,-176.0,They were moved to relatively , quarters when they complained.,trial,TextBlock[They were moved t...],"FixationSequence[Fixation[875,537], ..., Fixation[1499,534]]",117,531,531,531,n/a,legal_nonword
252,"['trial 118 start', 'trial 118 end']","FixationSequence[Fixation[947,526], ..., Fixation[1387,560]]",simple,3,horror,orrore,"We all have interesting X stories we can tell, don't we?",23,61,-272.0,We all have interesting ," stories we can tell, don't we?",trial,TextBlock[We all have inter...],"FixationSequence[Fixation[947,526], ..., Fixation[1387,534]]",118,201,201,201,n/a,cognate
253,"['trial 119 start', 'trial 119 end']","FixationSequence[Fixation[917,537], ..., Fixation[1380,544]]",complex,2,acidity,acidity,You can increase X by adding lemon juice to the mixture.,16,62,-384.0,You can increase , by adding lemon juice to the mixture.,trial,TextBlock[You can increase ...],"FixationSequence[Fixation[917,537], ..., Fixation[1380,534]]",119,151,151,151,n/a,identical
254,"['trial 120 start', 'trial 120 end']","FixationSequence[Fixation[954,549], ..., Fixation[1663,548]]",simple,2,parcel,hfjmwt,Jane recognised the bright X containing the books she had ordered.,26,71,-224.0,Jane recognised the bright , containing the books she had ordered.,trial,TextBlock[Jane recognised t...],"FixationSequence[Fixation[954,549], ..., Fixation[1663,534]]",120,255,255,255,n/a,illegal_nonword
256,"['trial 121 restart', 'trial 121 end']","FixationSequence[Fixation[963,542], ..., Fixation[1379,550]]",complex,2,sensitive,sensitive,The Arctic Ocean is more X to changes in climate.,24,57,-256.0,The Arctic Ocean is more , to changes in climate.,trial,TextBlock[The Arctic Ocean ...],"FixationSequence[Fixation[963,542], ..., Fixation[1379,534]]",121,163,163,163,n/a,identical
257,"['trial 122 start', 'trial 122 end']","FixationSequence[Fixation[835,506], ..., Fixation[1608,577]]",simple,4,hybrid,tslwxg,I decided to invent X bicycles because the planet needed our help.,19,71,-336.0,I decided to invent , bicycles because the planet needed our help.,trial,TextBlock[I decided to inve...],"FixationSequence[Fixation[835,506], ..., Fixation[1608,534]]",122,227,227,435,n/a,illegal_nonword
258,"['trial 123 start', 'trial 123 end']","FixationSequence[Fixation[840,507], ..., Fixation[1568,545]]",complex,2,humidity,zrbncpfg,Try to maintain the right X and temperature to prevent spoiling.,25,71,-240.0,Try to maintain the right , and temperature to prevent spoiling.,trial,TextBlock[Try to maintain t...],"FixationSequence[Fixation[840,507], ..., Fixation[1568,534]]",123,189,189,381,n/a,illegal_nonword
259,"['trial 124 start', 'trial 124 end']","FixationSequence[Fixation[863,539], ..., Fixation[1469,570]]",complex,3,glorious,gloriosa,We really have X weather today with this sun.,14,52,-416.0,We really have , weather today with this sun.,trial,TextBlock[We really have gl...],"FixationSequence[Fixation[863,539], ..., Fixation[1469,534]]",124,180,180,180,n/a,cognate
260,"['trial 125 start', 'trial 125 end']","FixationSequence[Fixation[859,528], ..., Fixation[1491,540]]",simple,1,example,example,It has shown them a true X of how to fight back against wars. ,24,68,-256.0,It has shown them a true , of how to fight back against wars. ,trial,TextBlock[It has shown them...],"FixationSequence[Fixation[859,528], ..., Fixation[1491,534]]",125,128,128,128,n/a,identical
261,"['trial 126 start', 'trial 126 end']","FixationSequence[Fixation[862,512], ..., Fixation[1355,549]]",complex,4,firmness,btjwqdyl,She detected an unusual X during a routine examination.,23,62,-272.0,She detected an unusual , during a routine examination.,trial,TextBlock[She detected an u...],"FixationSequence[Fixation[862,512], ..., Fixation[1355,534]]",126,314,180,314,180,illegal_nonword
265,"['trial 127 start', 'trial 127 end']","FixationSequence[Fixation[1167,598], ..., Fixation[1416,549]]",complex,4,soloist,solista,That evening the only X in the orchestra was a violin player.,21,67,-304.0,That evening the only , in the orchestra was a violin player.,trial,TextBlock[That evening the ...],"FixationSequence[Fixation[1167,598], ..., Fixation[1416,534]]",127,202,202,202,n/a,cognate
266,"['trial 128 start', 'trial 128 end']","FixationSequence[Fixation[985,530], ..., Fixation[1300,555]]",simple,1,hygiene,agiene ,You need good X in the operating room.,13,44,-432.0,You need good , in the operating room.,trial,TextBlock[You need good hyg...],"FixationSequence[Fixation[985,530], ..., Fixation[1300,534]]",128,222,222,222,n/a,legal_nonword
