rec_id,msgs,fixations,morph_type,lst_type,target,preview,sentence,boundary_index,sentence_len,boundary_shift,pre_target,post_target,type,TextBlock,adjusted_seq,trial_id,GD,FFD,GPD,FoM,trial_type
160,"['trial 78 start', 'trial 78 end']","FixationSequence[Fixation[467,607], ..., Fixation[1524,536]]",complex,2,violence,qfxghkjr,Let's talk about X in a home environment between parents.,16,64,-384.0,Let's talk about , in a home environment between parents.,trial,TextBlock[Let's talk about ...],"FixationSequence[Fixation[467,607], ..., Fixation[1524,534]]",78,560,232,560,232,illegal_nonword
161,"['trial 79 start', 'trial 79 end']","FixationSequence[Fixation[860,472], ..., Fixation[1337,507]]",simple,4,prophet,wzsyxcn,He found the young X at the back of the church.,18,53,-352.0,He found the young , at the back of the church.,trial,TextBlock[He found the youn...],"FixationSequence[Fixation[860,472], ..., Fixation[1337,534]]",79,168,168,885,n/a,illegal_nonword
162,"['trial 80 start', 'trial 80 end']","FixationSequence[Fixation[775,523], ..., Fixation[1670,533]]",complex,3,firmness,fermezza,He showed the same X with his children as with his soldiers.,18,67,-352.0,He showed the same , with his children as with his soldiers.,trial,TextBlock[He showed the sam...],"FixationSequence[Fixation[775,523], ..., Fixation[1670,534]]",80,321,321,321,n/a,cognate
163,"['trial 81 start', 'trial 81 end']","FixationSequence[Fixation[779,537], ..., Fixation[1263,513]]",complex,2,signals,mdhvcrk,Maybe some of those X aren't coming from outer space.,19,59,-336.0,Maybe some of those , aren't coming from outer space.,trial,TextBlock[Maybe some of tho...],"FixationSequence[Fixation[779,537], ..., Fixation[1263,534]]",81,465,253,465,253,illegal_nonword
164,"['trial 82 start', 'trial 82 end']","FixationSequence[Fixation[890,545], ..., Fixation[1535,530]]",complex,3,density,donsiti,We need the right X of reflective bits to decrease solar radiation.,17,73,-368.0,We need the right , of reflective bits to decrease solar radiation.,trial,TextBlock[We need the right...],"FixationSequence[Fixation[890,545], ..., Fixation[1535,534]]",82,381,381,381,n/a,legal_nonword
165,"['trial 83 start', 'trial 83 end']","FixationSequence[Fixation[881,540], ..., Fixation[1502,520]]",complex,4,greatness,grandezza,Make your way towards X by pushing yourself to be better.,21,65,-304.0,Make your way towards , by pushing yourself to be better.,trial,TextBlock[Make your way tow...],"FixationSequence[Fixation[881,540], ..., Fixation[1502,534]]",83,376,376,376,n/a,cognate
166,"['trial 84 start', 'trial 84 end']","FixationSequence[Fixation[827,565], ..., Fixation[1282,531]]",simple,1,parcel,capel ,Jane recognised the bright X containing the books she had ordered.,26,71,-224.0,Jane recognised the bright , containing the books she had ordered.,trial,TextBlock[Jane recognised t...],"FixationSequence[Fixation[827,565], ..., Fixation[1282,534]]",84,298,298,298,n/a,legal_nonword
167,"['trial 85 start', 'trial 85 end']","FixationSequence[Fixation[799,539], ..., Fixation[1576,534]]",complex,3,density,densità,Our bodies are the right X not to float away into space.,24,62,-256.0,Our bodies are the right , not to float away into space.,trial,TextBlock[Our bodies are th...],"FixationSequence[Fixation[799,539], ..., Fixation[1576,534]]",85,402,164,402,164,cognate
168,"['trial 86 start', 'trial 86 end']","FixationSequence[Fixation[781,523], ..., Fixation[1344,513]]",simple,3,throne,torne ,He dashed into the crowded X room without hesitation.,26,58,-224.0,He dashed into the crowded , room without hesitation.,trial,TextBlock[He dashed into th...],"FixationSequence[Fixation[781,523], ..., Fixation[1344,534]]",86,271,271,271,n/a,legal_nonword
169,"['trial 87 start', 'trial 87 end']","FixationSequence[Fixation[752,493], ..., Fixation[1278,515]]",complex,3,dignified,dignitoso,We need to develop X human rights laws for refugees.,18,60,-352.0,We need to develop , human rights laws for refugees.,trial,TextBlock[We need to develo...],"FixationSequence[Fixation[752,493], ..., Fixation[1278,534]]",87,246,246,246,n/a,cognate
173,"['trial 88 start', 'trial 88 end']","FixationSequence[Fixation[747,568], ..., Fixation[1624,561]]",simple,4,school,zyntdg,With so much X work to do they didn't have time to travel much.,12,68,-448.0,With so much , work to do they didn't have time to travel much.,trial,TextBlock[With so much scho...],"FixationSequence[Fixation[747,568], ..., Fixation[1624,534]]",88,335,335,335,n/a,illegal_nonword
177,"['trial 89 start', 'trial 89 end']","FixationSequence[Fixation[782,579], ..., Fixation[1373,510]]",simple,1,mountain,mountain,Reducing some of this X of paper would be nice.,21,54,-304.0,Reducing some of this , of paper would be nice.,trial,TextBlock[Reducing some of ...],"FixationSequence[Fixation[782,579], ..., Fixation[1373,534]]",89,398,166,398,166,identical
181,"['trial 90 start', 'trial 90 end']","FixationSequence[Fixation[785,602], ..., Fixation[1698,513]]",complex,4,greatness,wxlmhfyvk,George is exceptional at seeing X in someone young and training them.,31,77,-144.0,George is exceptional at seeing , in someone young and training them.,trial,TextBlock[George is excepti...],"FixationSequence[Fixation[785,602], ..., Fixation[1698,534]]",90,325,325,884,n/a,illegal_nonword
182,"['trial 91 start', 'trial 91 end']","FixationSequence[Fixation[807,496], ..., Fixation[1346,506]]",simple,3,hybrid,ibrido,The most recent X cars are even more fuel-efficient.,15,57,-400.0,The most recent , cars are even more fuel-efficient.,trial,TextBlock[The most recent h...],"FixationSequence[Fixation[807,496], ..., Fixation[1346,534]]",91,264,264,264,n/a,cognate
186,"['trial 92 start', 'trial 92 end']","FixationSequence[Fixation[1184,569], ..., Fixation[1484,512]]",simple,3,platoon,plutian,Last summer our former X went through training runs every morning.,22,72,-288.0,Last summer our former , went through training runs every morning.,trial,TextBlock[Last summer our f...],"FixationSequence[Fixation[1184,569], ..., Fixation[1484,534]]",92,302,302,302,n/a,legal_nonword
190,"['trial 93 start', 'trial 93 end']","FixationSequence[Fixation[1166,575], ..., Fixation[1490,514]]",complex,1,nervous,nervous,With an unexpected X energy she ran faster and faster.,18,60,-352.0,With an unexpected , energy she ran faster and faster.,trial,TextBlock[With an unexpecte...],"FixationSequence[Fixation[1166,575], ..., Fixation[1490,534]]",93,354,354,354,n/a,identical
191,"['trial 94 start', 'trial 94 end']","FixationSequence[Fixation[855,500], ..., Fixation[1669,542]]",complex,2,vigilance,krmwsbpyj,He needs great X for the task at hand to avoid making mistakes.,14,71,-416.0,He needs great , for the task at hand to avoid making mistakes.,trial,TextBlock[He needs great vi...],"FixationSequence[Fixation[855,500], ..., Fixation[1669,534]]",94,563,221,563,221,illegal_nonword
192,"['trial 95 start', 'trial 95 end']","FixationSequence[Fixation[857,513], ..., Fixation[1485,507]]",complex,1,genetics,genetics,Due to your particular X you have an increased risk of cancer.,22,69,-288.0,Due to your particular , you have an increased risk of cancer.,trial,TextBlock[Due to your parti...],"FixationSequence[Fixation[857,513], ..., Fixation[1485,534]]",95,383,383,383,n/a,identical
196,"['trial 96 start', 'trial 96 end']","FixationSequence[Fixation[1167,569], ..., Fixation[1706,525]]",complex,4,vastness,hfgpmwyx,She dreamt about green X filled with sweeping winds and fishing boats.,22,77,-288.0,She dreamt about green , filled with sweeping winds and fishing boats.,trial,TextBlock[She dreamt about ...],"FixationSequence[Fixation[1167,569], ..., Fixation[1706,534]]",96,478,478,478,n/a,illegal_nonword
202,"['trial 97 restart', 'trial 97 end']","FixationSequence[Fixation[1028,537], ..., Fixation[1590,557]]",simple,2,resource,jylbkndg,The course introduces X management to combat global warning.,21,67,-304.0,The course introduces , management to combat global warning.,trial,TextBlock[The course introd...],"FixationSequence[Fixation[1028,537], ..., Fixation[1590,534]]",97,475,218,475,218,illegal_nonword
206,"['trial 98 start', 'trial 98 end']","FixationSequence[Fixation[758,611], ..., Fixation[1409,552]]",complex,3,dignified,dinnisito,He doesn't deserve a graceful X exit after what he's done.,29,66,-176.0,He doesn't deserve a graceful , exit after what he's done.,trial,TextBlock[He doesn't deserv...],"FixationSequence[Fixation[758,611], ..., Fixation[1409,534]]",98,616,228,616,228,legal_nonword
210,"['trial 99 start', 'trial 99 end']","FixationSequence[Fixation[785,609], ..., Fixation[1392,562]]",complex,1,sculptor,snuletor,A very controversial X designed this piece last year.,20,60,-320.0,A very controversial , designed this piece last year.,trial,TextBlock[A very controvers...],"FixationSequence[Fixation[785,609], ..., Fixation[1392,534]]",99,608,327,608,327,legal_nonword
211,"['trial 100 start', 'trial 100 end']","FixationSequence[Fixation[877,536], ..., Fixation[1492,564]]",simple,1,recruit,recruit,His recent favourite X was a tall muscular boy named Peter.,20,65,-320.0,His recent favourite , was a tall muscular boy named Peter.,trial,TextBlock[His recent favour...],"FixationSequence[Fixation[877,536], ..., Fixation[1492,534]]",100,500,232,500,232,identical
212,"['trial 101 start', 'trial 101 end']","FixationSequence[Fixation[960,518], ..., Fixation[1535,566]]",simple,1,island,ipand ,Our own little X of personal space is our table in the restaurant.,14,71,-416.0,Our own little , of personal space is our table in the restaurant.,trial,TextBlock[Our own little is...],"FixationSequence[Fixation[960,518], ..., Fixation[1535,534]]",101,461,271,461,271,legal_nonword
216,"['trial 102 start', 'trial 102 end']","FixationSequence[Fixation[1175,590], ..., Fixation[1607,542]]",complex,2,eruption,yhsdcqjk,A completely unexpected X from the moka sprayed coffee on the walls.,23,75,-272.0,A completely unexpected , from the moka sprayed coffee on the walls.,trial,TextBlock[A completely unex...],"FixationSequence[Fixation[1175,590], ..., Fixation[1607,534]]",102,331,331,331,n/a,illegal_nonword
217,"['trial 103 start', 'trial 103 end']","FixationSequence[Fixation[690,491], ..., Fixation[1350,536]]",simple,4,trumpet,tromba ,A badly broken X lay in the middle of the deserted stage.,14,63,-416.0,A badly broken , lay in the middle of the deserted stage.,trial,TextBlock[A badly broken tr...],"FixationSequence[Fixation[690,491], ..., Fixation[1350,534]]",103,389,389,389,n/a,cognate
221,"['trial 104 start', 'trial 104 end']","FixationSequence[Fixation[1178,608], ..., Fixation[1333,546]]",complex,2,jealousy,jealousy,They displayed a certain X over Audrey's sudden freedom.,24,63,-256.0,They displayed a certain , over Audrey's sudden freedom.,trial,TextBlock[They displayed a ...],"FixationSequence[Fixation[1178,608], ..., Fixation[1333,534]]",104,369,369,369,n/a,identical
227,"['trial 105 start', 'trial 105 end']","FixationSequence[Fixation[1161,588], ..., Fixation[1551,553]]",complex,3,gracious,crapinus,While still sounding X and complimenting his employees he resigned.,20,74,-320.0,While still sounding , and complimenting his employees he resigned.,trial,TextBlock[While still sound...],"FixationSequence[Fixation[1161,588], ..., Fixation[1551,534]]",105,251,251,1033,n/a,legal_nonword
228,"['trial 106 start', 'trial 106 end']","FixationSequence[Fixation[988,528], ..., Fixation[1410,561]]",simple,2,lettuce,bvqsyzf,This will keep your X fresh and crunchy all week long.,19,60,-336.0,This will keep your , fresh and crunchy all week long.,trial,TextBlock[This will keep yo...],"FixationSequence[Fixation[988,528], ..., Fixation[1410,534]]",106,299,299,498,n/a,illegal_nonword
229,"['trial 107 start', 'trial 107 end']","FixationSequence[Fixation[877,534], ..., Fixation[1388,566]]",simple,4,school,scuola,Linda always disliked X when it was sunny outside.,21,55,-304.0,Linda always disliked , when it was sunny outside.,trial,TextBlock[Linda always disl...],"FixationSequence[Fixation[877,534], ..., Fixation[1388,534]]",107,378,378,378,n/a,cognate
230,"['trial 108 start', 'trial 108 end']","FixationSequence[Fixation[829,526], ..., Fixation[1548,559]]",simple,3,hybrid,nobred,I decided to invent X bicycles because the planet needed our help.,19,71,-336.0,I decided to invent , bicycles because the planet needed our help.,trial,TextBlock[I decided to inve...],"FixationSequence[Fixation[829,526], ..., Fixation[1548,534]]",108,429,196,429,196,legal_nonword
231,"['trial 109 start', 'trial 109 end']","FixationSequence[Fixation[877,480], ..., Fixation[1422,515]]",simple,1,sphere,spora ,Inside there was a light X resting on a pillow.,24,52,-256.0,Inside there was a light , resting on a pillow.,trial,TextBlock[Inside there was ...],"FixationSequence[Fixation[877,480], ..., Fixation[1422,534]]",109,217,217,217,n/a,legal_nonword
232,"['trial 110 start', 'trial 110 end']","FixationSequence[Fixation[1103,359], ..., Fixation[1462,546]]",complex,1,genetics,gedetici,That is partly about X and partly about how you were raised.,20,67,-320.0,That is partly about , and partly about how you were raised.,trial,TextBlock[That is partly ab...],"FixationSequence[Fixation[1103,359], ..., Fixation[1462,534]]",110,441,241,441,241,legal_nonword
233,"['trial 111 start', 'trial 111 end']","FixationSequence[Fixation[850,571], ..., Fixation[1510,554]]",complex,1,bandages,bagnades,Please change your X every two days for it to heal.,18,58,-352.0,Please change your , every two days for it to heal.,trial,TextBlock[Please change you...],"FixationSequence[Fixation[850,571], ..., Fixation[1510,534]]",111,616,204,616,204,legal_nonword
234,"['trial 112 start', 'trial 112 end']","FixationSequence[Fixation[730,472], ..., Fixation[1436,555]]",simple,1,vehicle,vehicle,It's definitely a great X for a large family.,23,51,-272.0,It's definitely a great , for a large family.,trial,TextBlock[It's definitely a...],"FixationSequence[Fixation[730,472], ..., Fixation[1436,534]]",112,226,226,226,n/a,identical
235,"['trial 113 start', 'trial 113 end']","FixationSequence[Fixation[845,522], ..., Fixation[1542,554]]",simple,4,example,ynbhrzv,We must consider the previous X of collaboration between the two labs.,29,76,-176.0,We must consider the previous , of collaboration between the two labs.,trial,TextBlock[We must consider ...],"FixationSequence[Fixation[845,522], ..., Fixation[1542,534]]",113,308,308,308,n/a,illegal_nonword
239,"['trial 114 start', 'trial 114 end']","FixationSequence[Fixation[265,467], ..., Fixation[1684,568]]",complex,4,sanity,rvxghd,Any hope of a future X depended on our willingness to listen.,20,66,-320.0,Any hope of a future , depended on our willingness to listen.,trial,TextBlock[Any hope of a fut...],"FixationSequence[Fixation[265,467], ..., Fixation[1684,534]]",114,525,299,525,299,illegal_nonword
243,"['trial 115 start', 'trial 115 end']","FixationSequence[Fixation[1170,606], ..., Fixation[1635,553]]",simple,1,synagogue,synagogue,No doubt this X has the most beautiful exterior.,13,56,-432.0,No doubt this , has the most beautiful exterior.,trial,TextBlock[No doubt this syn...],"FixationSequence[Fixation[1170,606], ..., Fixation[1635,534]]",115,977,188,977,188,identical
247,"['trial 116 start', 'trial 116 end']","FixationSequence[Fixation[747,580], ..., Fixation[312,568]]",simple,4,molecule,phdtsnfv,For the journey every X will be reused in this sustainable spaceship.,21,76,-304.0,For the journey every , will be reused in this sustainable spaceship.,trial,TextBlock[For the journey e...],"FixationSequence[Fixation[747,580], ..., Fixation[312,534]]",116,651,510,651,510,illegal_nonword
248,"['trial 117 start', 'trial 117 end']","FixationSequence[Fixation[987,551], ..., Fixation[1487,554]]",simple,3,change,plagro,There might be some X in the use of this tool in the last decade.,19,70,-336.0,There might be some , in the use of this tool in the last decade.,trial,TextBlock[There might be so...],"FixationSequence[Fixation[987,551], ..., Fixation[1487,534]]",117,270,270,270,n/a,legal_nonword
249,"['trial 118 start', 'trial 118 end']","FixationSequence[Fixation[687,441], ..., Fixation[1410,563]]",simple,2,theorem,theorem,This is an impossible X for us to prove in a traditional way.,21,67,-304.0,This is an impossible , for us to prove in a traditional way.,trial,TextBlock[This is an imposs...],"FixationSequence[Fixation[687,441], ..., Fixation[1410,534]]",118,343,343,343,n/a,identical
250,"['trial 119 start', 'trial 119 end']","FixationSequence[Fixation[956,526], ..., Fixation[1256,552]]",complex,2,glorious,qnvyzfkt,He would have been truly X as a king in his prime.,24,57,-256.0,He would have been truly , as a king in his prime.,trial,TextBlock[He would have bee...],"FixationSequence[Fixation[956,526], ..., Fixation[1256,534]]",119,309,309,309,n/a,illegal_nonword
251,"['trial 120 start', 'trial 120 end']","FixationSequence[Fixation[819,525], ..., Fixation[1163,552]]",complex,2,glorious,glorious,We really have X weather today with this sun.,14,52,-416.0,We really have , weather today with this sun.,trial,TextBlock[We really have gl...],"FixationSequence[Fixation[819,525], ..., Fixation[1163,534]]",120,339,339,339,n/a,identical
252,"['trial 121 start', 'trial 121 end']","FixationSequence[Fixation[1018,506], ..., Fixation[1412,547]]",simple,2,nephew,nephew,This time one other X was there for Ben during his breakdown.,19,66,-336.0,This time one other , was there for Ben during his breakdown.,trial,TextBlock[This time one oth...],"FixationSequence[Fixation[1018,506], ..., Fixation[1412,534]]",121,332,332,332,n/a,identical
253,"['trial 122 start', 'trial 122 end']","FixationSequence[Fixation[938,433], ..., Fixation[1628,563]]",complex,4,pianists,zhwvjlmx,It's impressive how effortlessly X improvise when playing jazz.,32,70,-128.0,It's impressive how effortlessly , improvise when playing jazz.,trial,TextBlock[It's impressive h...],"FixationSequence[Fixation[938,433], ..., Fixation[1628,534]]",122,509,291,1212,291,illegal_nonword
254,"['trial 123 start', 'trial 123 end']","FixationSequence[Fixation[867,520], ..., Fixation[1497,536]]",simple,1,recruit,rotrait,It looked like the newest X was going to fail his exams.,25,62,-240.0,It looked like the newest , was going to fail his exams.,trial,TextBlock[It looked like th...],"FixationSequence[Fixation[867,520], ..., Fixation[1497,534]]",123,391,157,391,157,legal_nonword
255,"['trial 124 start', 'trial 124 end']","FixationSequence[Fixation[1176,452], ..., Fixation[1521,548]]",simple,3,throne,trono ,The small purple X for the prince sat at the head of his table.,16,68,-384.0,The small purple , for the prince sat at the head of his table.,trial,TextBlock[The small purple ...],"FixationSequence[Fixation[1176,452], ..., Fixation[1521,534]]",124,224,224,224,n/a,cognate
256,"['trial 125 start', 'trial 125 end']","FixationSequence[Fixation[901,536], ..., Fixation[1592,549]]",simple,4,trumpet,ljxwfdv,You shall be a fearless X of truth and a voice of godly influence.,23,72,-272.0,You shall be a fearless , of truth and a voice of godly influence.,trial,TextBlock[You shall be a fe...],"FixationSequence[Fixation[901,536], ..., Fixation[1592,534]]",125,279,279,279,n/a,illegal_nonword
257,"['trial 126 start', 'trial 126 end']","FixationSequence[Fixation[675,489], ..., Fixation[1565,538]]",complex,2,luxurious,tpchgfdjk,They were moved to relatively X quarters when they complained.,29,70,-176.0,They were moved to relatively , quarters when they complained.,trial,TextBlock[They were moved t...],"FixationSequence[Fixation[675,489], ..., Fixation[1565,534]]",126,924,174,924,174,illegal_nonword
258,"['trial 127 start', 'trial 127 end']","FixationSequence[Fixation[907,563], ..., Fixation[1138,548]]",simple,3,rhythm,ritmo ,It has a real X that you can easily dance to.,13,50,-432.0,It has a real , that you can easily dance to.,trial,TextBlock[It has a real rhy...],"FixationSequence[Fixation[907,563], ..., Fixation[1138,534]]",127,310,310,540,n/a,cognate
259,"['trial 128 start', 'trial 128 end']","FixationSequence[Fixation[610,461], ..., Fixation[1278,534]]",simple,4,molecule,molecola,Even a solitary X remaining is incredibly unlikely.,15,58,-400.0,Even a solitary , remaining is incredibly unlikely.,trial,TextBlock[Even a solitary m...],"FixationSequence[Fixation[610,461], ..., Fixation[1278,534]]",128,381,197,381,197,cognate
